Vaccine,COVID_Risk,Trust_in_Scientists,Misinformation
Yes,5.5,5,1
Yes,5.333333333,4,1.5
Yes,4.333333333,4,1
Yes,3.5,5,3.833333333
Yes,4.833333333,5,1.5
Yes,4.833333333,4,6.333333333
Yes,5.666666667,4,2
No,1.833333333,3,3.166666667
Yes,4.666666667,4,1.666666667
Yes,2.166666667,4,2.5
No,3.5,3,3.666666667
Yes,4.5,5,1
No,3.166666667,3,4
Yes,4.5,4,5.666666667
No,1.666666667,4,1.833333333
No,2.666666667,3,3
Yes,4.166666667,5,4
Yes,4.833333333,5,1.666666667
Yes,4,4,1
No,5,3,3.666666667
Yes,4,4,1.333333333
No,4.333333333,2,5
Yes,2,3,1.5
Yes,5.666666667,5,1.833333333
Yes,4.5,5,1
No,2.5,4,1.833333333
No,2.666666667,3,5.5
Yes,4.333333333,4,1
Yes,4.833333333,5,1.333333333
Yes,5.333333333,5,1
Yes,5,4,2.5
Yes,5,5,1
No,3.666666667,5,2.666666667
Yes,4,5,1.333333333
No,4.333333333,3,2.833333333
Yes,3.833333333,3,3.833333333
Yes,2.666666667,4,3.5
Yes,4.666666667,4,3.833333333
Yes,2.833333333,3,1
Yes,5.333333333,5,1
Yes,3.833333333,3,4.5
Yes,5.166666667,5,6
Yes,4.833333333,5,1.333333333
Yes,3.833333333,5,1.5
Yes,4.333333333,2,4.666666667
Yes,4.333333333,3,1
No,1.5,4,1.833333333
Yes,4,3,4
Yes,4.5,3,2.166666667
Yes,5.333333333,5,7
Yes,3.833333333,5,1
No,2,1,1.166666667
Yes,3.5,4,2.333333333
No,1.666666667,1,1
Yes,4.666666667,4,2.333333333
Yes,4.5,4,1.833333333
Yes,3.333333333,3,4.333333333
No,4.166666667,3,1
Yes,4.833333333,4,3
No,3.5,3,3.5
Yes,3.833333333,4,1
Yes,4.5,4,3.166666667
Yes,3.5,3,2
Yes,3.666666667,3,3.833333333
Yes,4.333333333,5,1.666666667
No,3.5,4,3.666666667
Yes,5,5,1
No,4.833333333,4,2.166666667
Yes,5,5,2.666666667
Yes,3.666666667,5,3
Yes,3.333333333,3,1.5
Yes,5,3,4.5
Yes,5,5,1.166666667
Yes,4.666666667,4,1.666666667
No,2.666666667,3,2.166666667
No,2.333333333,3,2.5
No,4.333333333,4,1.333333333
No,2.666666667,4,2.333333333
No,2.833333333,2,3.166666667
Yes,5.333333333,4,1.166666667
Yes,4.8,3,1.5
Yes,5.833333333,4,1
Yes,3.333333333,4,1.5
No,4.666666667,4,2
Yes,5.5,4,2
No,4.166666667,5,1.333333333
Yes,4,5,2.666666667
No,1.833333333,2,1.666666667
Yes,4.166666667,1,4.666666667
No,3.5,3,3.666666667
Yes,4.5,4,1.333333333
Yes,5.5,5,1.833333333
Yes,3.5,4,1.166666667
No,4.333333333,4,1.833333333
No,3.166666667,5,3.666666667
Yes,2.5,3,4.333333333
Yes,4.5,4,1.333333333
Yes,4.666666667,4,4.166666667
Yes,4.166666667,3,2.333333333
Yes,4.5,4,1.333333333
Yes,4.666666667,4,2.5
Yes,3.833333333,4,1.5
No,5,1,4.666666667
Yes,5,5,1.666666667
Yes,5.333333333,4,1.166666667
Yes,4.666666667,3,1.333333333
Yes,4.666666667,5,1.166666667
No,3.833333333,2,4
Yes,3.666666667,4,1.833333333
Yes,4.5,4,2
Yes,3.666666667,4,1.833333333
No,4.166666667,4,2
Yes,5,4,1
Yes,4.666666667,4,1.5
No,5.166666667,4,1
Yes,5,3,3
Yes,5.5,4,1.333333333
Yes,4.5,3,2.166666667
Yes,4.166666667,5,1.833333333
Yes,5.333333333,5,2
Yes,3,4,1.666666667
No,3.5,2,4.166666667
Yes,4,5,1.5
No,2.833333333,3,2
Yes,4.5,5,5.333333333
Yes,5,5,2.833333333
Yes,4.666666667,3,3
Yes,3.333333333,4,3.833333333
Yes,4,4,3.5
Yes,4.166666667,4,2.5
Yes,4.333333333,4,1
Yes,5.666666667,5,2
Yes,4.666666667,4,4
Yes,5.166666667,5,1
Yes,3.333333333,4,1
Yes,3.333333333,5,1
No,4.5,3,5.5
Yes,3.666666667,5,5
Yes,3,4,1.333333333
No,4.333333333,4,5.333333333
No,2.833333333,3,2.5
Yes,3.5,5,1
Yes,4.833333333,5,1.166666667
Yes,3.333333333,3,2.833333333
Yes,4.166666667,5,1.5
Yes,4.833333333,4,4.833333333
Yes,4.333333333,4,4.833333333
Yes,3.166666667,4,2.833333333
Yes,4.833333333,5,1
Yes,4,3,1.166666667
Yes,3.333333333,4,1.5
Yes,4.166666667,4,4
Yes,1.666666667,3,3.333333333
Yes,3,3,2.5
Yes,5.833333333,5,1
Yes,3,4,1
Yes,5.333333333,5,1
No,3.5,3,4.166666667
Yes,4.666666667,4,1.166666667
Yes,4.166666667,3,1.833333333
Yes,4.5,5,2.833333333
No,2.833333333,3,5
Yes,4.833333333,4,2.666666667
Yes,3.833333333,5,1.166666667
Yes,4.333333333,3,1.333333333
Yes,3.666666667,3,1
No,2.666666667,3,4.166666667
Yes,5,3,1.166666667
Yes,5,5,2.166666667
No,4.166666667,3,4.666666667
Yes,3.333333333,3,3
Yes,4.5,4,1.166666667
Yes,5.166666667,5,2.333333333
Yes,4.833333333,4,1
Yes,4.666666667,4,3.5
Yes,4.666666667,5,1
Yes,4.166666667,4,2.5
Yes,3,4,1.333333333
Yes,4.333333333,4,4
Yes,2.666666667,4,2.5
Yes,5,5,1
Yes,5,4,1
Yes,4,3,1
Yes,3.833333333,4,3.5
Yes,4,5,1.5
Yes,3.833333333,4,2
No,3.833333333,4,3.166666667
No,2.833333333,4,2.666666667
Yes,3.666666667,4,1.333333333
Yes,4.833333333,5,1
Yes,5.166666667,4,1
Yes,3.5,4,2
Yes,3.5,4,1.166666667
Yes,5.833333333,5,5.833333333
Yes,5.666666667,5,1.666666667
Yes,4.166666667,3,2
Yes,4.666666667,4,1.166666667
Yes,3.833333333,4,2.166666667
Yes,5.5,5,2.666666667
Yes,5,4,1
Yes,4.833333333,5,1
Yes,4.166666667,3,3
Yes,2.666666667,4,5.166666667
No,2,2,2.333333333
Yes,3.166666667,3,1.666666667
Yes,5,5,1
Yes,3.833333333,5,1.333333333
No,2.833333333,4,2.5
Yes,3.5,4,1.666666667
Yes,3.666666667,3,4.166666667
Yes,5,4,2.5
Yes,3.166666667,3,2.333333333
Yes,5,4,2.333333333
No,4,4,4
Yes,4.666666667,4,2.166666667
Yes,4.333333333,4,1.5
Yes,4.333333333,4,4
Yes,3.166666667,4,1.833333333
Yes,4.5,3,1.5
Yes,4.666666667,3,2.666666667
Yes,4,4,1
No,4.5,5,2
No,3.666666667,4,2.833333333
No,5.5,3,2.333333333
Yes,5.166666667,5,1.666666667
No,2.333333333,5,2
Yes,5,3,5.833333333
No,4.5,4,2.5
Yes,3.333333333,2,4.5
Yes,4.333333333,3,3.166666667
Yes,4.333333333,4,5
Yes,3.5,2,5
No,2.166666667,3,3.166666667
Yes,5.166666667,5,2.5
Yes,5.166666667,4,6.166666667
Yes,2.833333333,4,3.833333333
Yes,4.333333333,3,4.166666667
Yes,4.166666667,5,1
Yes,4.5,5,2.833333333
No,4.166666667,3,4.166666667
Yes,2.833333333,4,3.5
Yes,2.5,3,2.333333333
No,3,4,1.5
Yes,6,5,2.166666667
Yes,5.333333333,5,1
Yes,5.333333333,5,1
Yes,3.166666667,4,1
Yes,4.5,2,4
Yes,5.333333333,4,2.166666667
No,4.333333333,4,4.166666667
Yes,4.666666667,5,1.5
Yes,5.166666667,4,1.5
Yes,5.333333333,5,1
Yes,4,3,2.833333333
Yes,3.666666667,4,4.333333333
Yes,4.666666667,4,1.5
Yes,3.333333333,5,1
Yes,4.666666667,5,2.166666667
Yes,4.333333333,4,4.5
No,4.166666667,4,1.666666667
Yes,4.666666667,4,6
Yes,4.5,3,1.666666667
Yes,3.5,4,2.166666667
No,3,3,3.666666667
Yes,4.166666667,4,2.333333333
Yes,3.666666667,4,2.5
Yes,4.666666667,5,1
Yes,3.333333333,4,2.833333333
Yes,5,5,1.666666667
No,5.166666667,4,5.5
Yes,4.833333333,5,1
Yes,4.333333333,5,3.166666667
Yes,5.5,5,1
No,5.333333333,4,5
Yes,3.5,4,4.166666667
No,4.166666667,2,2.833333333
Yes,4,4,2.333333333
Yes,3,3,1
Yes,5.666666667,5,2.166666667
Yes,4,4,1.666666667
Yes,2.666666667,3,5
Yes,4.166666667,5,1
Yes,4.166666667,5,3.666666667
Yes,5,4,1
No,3.5,4,2.833333333
No,2.333333333,3,3
No,5.333333333,5,1
Yes,5.833333333,4,1.5
No,4.166666667,3,2.666666667
Yes,4.833333333,5,1.5
No,4.666666667,4,3.666666667
No,4.333333333,4,2.166666667
Yes,3.333333333,3,4.166666667
No,3.5,3,4
Yes,3.833333333,4,2
Yes,2.833333333,5,1
No,3.833333333,3,2.666666667
No,2.333333333,1,2.5
Yes,4.666666667,4,2.5
Yes,5,5,1.666666667
Yes,4.666666667,4,3
Yes,4.666666667,5,1
Yes,2.833333333,2,1.833333333
Yes,5.666666667,5,1
Yes,2.5,3,2
No,4.666666667,5,1.166666667
Yes,4.5,1,1.333333333
Yes,4.166666667,4,1.833333333
Yes,3.833333333,1,4
No,3,2,3.166666667
Yes,5.166666667,5,1.666666667
Yes,3,3,3.666666667
Yes,4.833333333,4,2
No,3.833333333,4,1.833333333
Yes,5.833333333,3,1.333333333
Yes,5.333333333,4,2
No,3.666666667,3,3.166666667
Yes,4.5,4,1.833333333
Yes,3.833333333,4,1.666666667
No,3.333333333,2,1.666666667
Yes,4.666666667,5,2
No,2.166666667,2,4.666666667
Yes,4.833333333,3,2.166666667
Yes,5,4,2.5
Yes,4.666666667,4,1.833333333
Yes,5.333333333,5,5
Yes,3.5,3,3
Yes,5.166666667,5,1
Yes,4.833333333,4,1.5
No,4.333333333,4,1.833333333
Yes,5,5,1
No,5.333333333,5,1
Yes,5.333333333,3,1.833333333
Yes,4.666666667,4,1.666666667
Yes,5,5,1
Yes,4.166666667,4,2.333333333
No,3.333333333,5,1.5
Yes,3.833333333,4,3
Yes,4.666666667,3,1.166666667
Yes,4.5,5,2
Yes,4,2,1.5
Yes,4.166666667,3,2.333333333
No,5.5,3,1.5
Yes,4.333333333,5,1
Yes,1.666666667,5,3
Yes,5,4,1.666666667
Yes,5.166666667,4,1.333333333
Yes,3.666666667,5,1
Yes,4.5,5,1.833333333
Yes,4.666666667,5,1
Yes,4.666666667,4,1
No,4.166666667,4,2.166666667
No,1,5,2.166666667
Yes,5.166666667,4,5.666666667
Yes,5.333333333,5,2.5
No,2.5,3,2.833333333
No,3.666666667,4,4.666666667
Yes,4,5,1
Yes,4,3,2.833333333
Yes,3.5,4,1
No,3.5,3,2.333333333
Yes,2.666666667,2,1.5
Yes,5.5,5,1.5
Yes,4.666666667,4,2.166666667
No,4.166666667,3,2.666666667
Yes,4.5,4,1.666666667
Yes,4.666666667,4,1
No,3.666666667,3,1.833333333
Yes,3.833333333,3,1.833333333
Yes,4.5,4,1.166666667
Yes,4.333333333,4,2.333333333
Yes,4.166666667,3,1.166666667
Yes,4.5,5,1
Yes,4.833333333,5,1.166666667
Yes,4.333333333,5,2
Yes,3.666666667,4,1.5
Yes,4.5,4,2.833333333
Yes,3,4,1.666666667
Yes,4.5,4,1
Yes,4.5,5,3
No,3.333333333,4,7
Yes,4.833333333,5,1
Yes,5.166666667,4,1
Yes,4,4,2.166666667
Yes,5.833333333,5,1
Yes,4.666666667,5,1
No,2.666666667,3,3.666666667
Yes,4.5,5,1.5
Yes,4,3,2.166666667
Yes,4.666666667,4,1.5
Yes,4,4,1.166666667
No,1.666666667,4,1.833333333
No,4,3,4.333333333
Yes,3.833333333,3,1.5
Yes,4.333333333,4,3.166666667
No,4.5,3,2.166666667
Yes,6,3,4.5
No,3.666666667,3,4
Yes,4,4,2.5
Yes,5,5,3
No,6,1,4
Yes,3.666666667,5,1.333333333
Yes,4,5,1
No,2,3,2.666666667
Yes,5,5,1
Yes,3.5,3,1.666666667
Yes,3.666666667,4,2.166666667
Yes,5.666666667,5,1
Yes,5.333333333,4,3
Yes,3.5,4,1.166666667
Yes,3.666666667,4,3.5
Yes,5,4,1.666666667
No,3,4,3.166666667
Yes,4.833333333,5,1.666666667
Yes,4.166666667,4,1.333333333
Yes,5,4,1.666666667
Yes,5,4,1
Yes,5,5,1.166666667
Yes,3.833333333,4,2.666666667
No,2.666666667,4,2.166666667
Yes,4.666666667,4,1
Yes,4.666666667,3,3.333333333
Yes,4.833333333,5,6
Yes,4.5,4,1.833333333
No,4.5,3,1.5
Yes,4.166666667,4,2.166666667
Yes,3.5,4,1.666666667
No,4.666666667,4,1.5
Yes,4.666666667,5,1
Yes,4.2,4,5
Yes,2.833333333,3,3
Yes,3.666666667,3,3.5
Yes,3.333333333,4,2.333333333
Yes,4.666666667,4,1.833333333
Yes,3.833333333,4,1.5
Yes,4.5,2,5.333333333
Yes,4.166666667,5,2.333333333
Yes,4.5,4,3
No,2.833333333,3,1.666666667
Yes,5.5,5,1.5
Yes,4.666666667,3,2
Yes,5.333333333,3,2.666666667
No,4.333333333,3,2.333333333
No,4.666666667,5,1.5
Yes,3.333333333,4,2.833333333
Yes,4.333333333,4,2.333333333
Yes,4.5,4,3.333333333
No,2.833333333,2,5.666666667
No,3.833333333,4,1.833333333
Yes,5.166666667,3,2.333333333
Yes,5.333333333,4,2.166666667
No,3,4,2
No,2,2,2.333333333
Yes,4.5,4,4
Yes,4.5,4,2.166666667
Yes,4.166666667,5,3.5
No,3.666666667,4,3
No,4.333333333,4,2.666666667
Yes,5,4,1
No,2.666666667,4,3
Yes,4.5,4,2
No,4.5,4,5.333333333
No,4,3,2.666666667
Yes,4.333333333,5,1.166666667
Yes,3.833333333,5,5.333333333
Yes,4.333333333,5,2.166666667
No,2,4,5.5
Yes,4.833333333,3,2.333333333
Yes,4,4,1.166666667
No,3.833333333,4,1
Yes,4.5,5,1
Yes,3.166666667,2,3.333333333
Yes,4.333333333,4,2.166666667
No,3.5,4,3
Yes,4.333333333,5,3.333333333
Yes,5,5,1
Yes,5.166666667,5,1
No,5,4,2.333333333
Yes,5,5,1
No,3.333333333,5,4.333333333
Yes,3,4,1.666666667
Yes,5,5,1.5
Yes,4.5,4,1
No,3.333333333,3,4
No,1.833333333,3,3.833333333
Yes,4.5,4,1.333333333
No,2.5,3,1.166666667
Yes,4,3,1.833333333
Yes,2.5,4,1.666666667
No,1.666666667,4,4.5
Yes,6,5,1.5
No,2.833333333,3,2.333333333
Yes,4.833333333,5,1.666666667
No,3.5,4,2.833333333
Yes,5,3,6
No,3.5,4,3
Yes,4,4,1
Yes,5,4,1.833333333
No,4,4,2.166666667
No,2.333333333,3,4.666666667
Yes,4,2,5
Yes,5.166666667,5,1
Yes,3.166666667,4,2.333333333
Yes,4,4,1.333333333
Yes,4.166666667,4,2.166666667
Yes,5.333333333,4,6.5
No,1.833333333,2,1
No,4.833333333,3,2.333333333
Yes,4.833333333,5,1
Yes,5.666666667,3,1.166666667
Yes,3.333333333,3,4
Yes,4,4,2.166666667
Yes,5.833333333,2,4.5
Yes,4.5,3,1
Yes,5,4,1.166666667
Yes,5,4,2.166666667
Yes,4.5,3,2.333333333
Yes,4.333333333,5,1.166666667
Yes,3.333333333,4,2.333333333
No,2.166666667,3,2.666666667
Yes,4.5,5,3.5
No,4.5,4,4.166666667
No,3,3,1
Yes,4.5,4,1.666666667
Yes,4.833333333,5,1.833333333
Yes,3.333333333,5,3.5
Yes,5.833333333,4,1.666666667
Yes,4,5,1.166666667
Yes,5.333333333,5,1
No,2.833333333,2,2.166666667
Yes,4.333333333,4,1.833333333
Yes,4.333333333,4,2.5
Yes,4.166666667,4,3.5
Yes,4,4,2
Yes,4.833333333,5,1
No,3.5,3,2.666666667
Yes,4.666666667,4,1.833333333
No,3.833333333,3,2.5
Yes,4.333333333,5,1.5
No,4.666666667,3,2.833333333
Yes,5,4,3
No,3.833333333,2,3.5
Yes,4.333333333,5,1
Yes,5.5,4,1.5
No,4.333333333,3,4.833333333
Yes,5.166666667,5,6.333333333
No,3.833333333,4,3
Yes,4.666666667,4,1.5
Yes,5.5,5,2.666666667
Yes,4.833333333,4,3
Yes,5.5,5,1
Yes,5.666666667,4,1.333333333
Yes,4,3,4.666666667
No,4.333333333,3,5.166666667
No,4.833333333,3,4.666666667
No,4.666666667,4,2.666666667
Yes,4.5,5,1.166666667
Yes,4.333333333,3,1
Yes,4,4,2.666666667
Yes,4.333333333,4,3
Yes,4.666666667,3,1.666666667
No,4.166666667,4,2
